"CNTSCHID","Region","generalPISA","finlitPISA","FLindicator","ST001D01T","ST004D01T","AGE","ISCEDD","ISCEDO","BELANGN","HEDRES","WEALTH","ST013Q01TA","IMMIG","MISCED","FISCED","BMMJ1","BFMJ2","EMOSUPS","REPEAT","OUTHOURS","MMINS","LMINS","PV1MATH","PV1READ","ANXTEST","MOTIVAT","SC001Q01TA","SC048Q01NA","SC048Q02NA","SC048Q03NA","SCHSIZE","CLSIZE","RATCMP1","LEADPD","SCHAUT","EDUSHORT","STRATIO","CNTSTUID","PV1FLIT"
5600002,"Belgium: Flemish community",1,1,0,"Grade 10","Female",16,"C","Vocational","Dutch",-0.1639,-0.42,"0-10 books","Native","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",69,28,-0.7526,"Did not repeat a <grade>",5,0,0,499.148,465.514,-1.9346,-1.7814,"A small town (3 000 to about 15 000 people)",11,35,4,680,18,0.9016,0.4475,0.83,1.3451,8.2424,5604293,539.23
5600002,"Belgium: Flemish community",1,1,0,"Grade 9","Female",16,"C","Vocational","Dutch",1.1563,0.0961,"26-100 books","Native","ISCED 5A, 6","ISCED 5B",55,71,0.4662,"Repeated a <grade>",16,330,330,376.211,329.64,0.0752,-1.4136,"A small town (3 000 to about 15 000 people)",11,35,4,680,18,0.9016,0.4475,0.83,1.3451,8.2424,5602020,439.175
5600002,"Belgium: Flemish community",1,1,0,"Grade 10","Male",16,"A","Vocational","Dutch",1.1563,0.0919,"26-100 books","Native","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",28,35,0.4662,"Did not repeat a <grade>",11,150,200,549.486,500.085,-2.505,-1.1822,"A small town (3 000 to about 15 000 people)",11,35,4,680,18,0.9016,0.4475,0.83,1.3451,8.2424,5602447,633.028
5600002,"Belgium: Flemish community",1,1,0,"Grade 10","Female",16,"C","Vocational","Dutch",-0.5343,-0.3306,"11-25 books","Native","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",77,24,-0.889,"Did not repeat a <grade>",3,50,50,433.711,422.746,-0.2039,-1.1822,"A small town (3 000 to about 15 000 people)",11,35,4,680,18,0.9016,0.4475,0.83,1.3451,8.2424,5604745,504.277
5600002,"Belgium: Flemish community",1,1,1,"Grade 9","Male",16,"A","Vocational","Dutch",-0.1639,0.7335,"101-200 books","Native","ISCED 5A, 6","ISCED 5B",82,75,-0.7498,"Repeated a <grade>",15,150,200,536.944,511.552,-0.0952,-1.358,"A small town (3 000 to about 15 000 people)",11,35,4,680,18,0.9016,0.4475,0.83,1.3451,8.2424,5603744,501.712
5600002,"Belgium: Flemish community",1,1,0,"Grade 9","Female",15,"A","Vocational","Dutch",-1.1268,-0.552,"26-100 books","Native","ISCED 2","ISCED 2",15,55,-0.984,"Repeated a <grade>",18,150,250,438.896,435.114,-2.505,-2.0766,"A small town (3 000 to about 15 000 people)",11,35,4,680,18,0.9016,0.4475,0.83,1.3451,8.2424,5601877,446.869
5600002,"Belgium: Flemish community",1,1,0,"Grade 10","Female",16,"A","Vocational","Dutch",-0.5343,0.3325,"0-10 books","Native","ISCED 5B","ISCED 3B, C",59,48,0.3821,"Did not repeat a <grade>",15,150,200,514.147,537.255,1.2704,-0.9331,"A small town (3 000 to about 15 000 people)",11,35,4,680,18,0.9016,0.4475,0.83,1.3451,8.2424,5600356,549.278
5600002,"Belgium: Flemish community",1,1,0,"Grade 9","Male",16,"C","Vocational","Dutch",-0.5343,1.2308,"0-10 books","Native","ISCED 3B, C","ISCED 3B, C",16,21,1.0991,"Repeated a <grade>",6,0,100,437.892,375.318,-0.3165,-0.7662,"A small town (3 000 to about 15 000 people)",11,35,4,680,18,0.9016,0.4475,0.83,1.3451,8.2424,5602874,434.195
5600002,"Belgium: Flemish community",1,1,0,"Grade 9","Female",16,"C","Vocational","Dutch",1.1563,0.7983,"26-100 books","Native","ISCED 5A, 6","ISCED 5A, 6",69,63,0.4253,"Repeated a <grade>",31,0,100,384.03,358.253,-0.1346,-1.5554,"A small town (3 000 to about 15 000 people)",11,35,4,680,18,0.9016,0.4475,0.83,1.3451,8.2424,5604247,405.773
5600002,"Belgium: Flemish community",1,1,1,"Grade 10","Female",16,"A","Vocational","Dutch",1.1563,0.8325,"101-200 books","Native","ISCED 5B","ISCED 5A, 6",69,82,-0.889,"Did not repeat a <grade>",3,150,200,481.889,529.538,-0.5224,-1.2223,"A small town (3 000 to about 15 000 people)",11,35,4,680,18,0.9016,0.4475,0.83,1.3451,8.2424,5603472,534.914
5600002,"Belgium: Flemish community",1,1,0,"Grade 9","Male",16,"C","Vocational","Dutch",-0.9044,0.246,"0-10 books","Native","ISCED 3A, ISCED 4","ISCED 5B",69,77,0.5658,"Repeated a <grade>",10,0,0,506.703,509.958,-1.6189,-0.3936,"A small town (3 000 to about 15 000 people)",11,35,4,680,18,0.9016,0.4475,0.83,1.3451,8.2424,5603344,556.946
5600002,"Belgium: Flemish community",1,1,0,"Grade 10","Male",16,"C","Vocational","Dutch",-0.5343,0.1746,"11-25 books","Native","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",27,25,0.1004,"Did not repeat a <grade>",10,200,200,517.599,495.735,-1.3753,-1.0351,"A small town (3 000 to about 15 000 people)",11,35,4,680,18,0.9016,0.4475,0.83,1.3451,8.2424,5602605,462.421
5600002,"Belgium: Flemish community",1,1,0,"Grade 9","Female",15,"A","Vocational","Dutch",0.1927,0.1496,"0-10 books","Native","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",24,41,0.5658,"Repeated a <grade>",33,150,200,447.912,475.178,0.6007,-1.5087,"A small town (3 000 to about 15 000 people)",11,35,4,680,18,0.9016,0.4475,0.83,1.3451,8.2424,5602582,583.345
5600002,"Belgium: Flemish community",1,1,0,"Grade 10","Female",16,"A","Vocational","Dutch",1.1563,0.0885,"26-100 books","Native","ISCED 3B, C","ISCED 3B, C",22,28,1.0991,"Did not repeat a <grade>",7,150,200,545.355,526.364,-0.2039,-0.5643,"A small town (3 000 to about 15 000 people)",11,35,4,680,18,0.9016,0.4475,0.83,1.3451,8.2424,5600738,646.724
5600002,"Belgium: Flemish community",1,1,0,"Grade 10","Female",16,"C","Vocational","Dutch",-1.1119,0.0977,"11-25 books","Native","ISCED 5A, 6","ISCED 3A, ISCED 4",70,52,-0.889,"Did not repeat a <grade>",32,300,100,448.247,474.048,-0.6871,-1.7353,"A small town (3 000 to about 15 000 people)",11,35,4,680,18,0.9016,0.4475,0.83,1.3451,8.2424,5602817,429.198
5600002,"Belgium: Flemish community",1,1,0,"Grade 10","Female",16,"A","Vocational","Dutch",0.0321,-0.3412,"26-100 books","Native","ISCED 3A, ISCED 4","ISCED 5B",14,49,-0.889,"Did not repeat a <grade>",9,150,200,522.514,495.046,0.0876,-1.231,"A small town (3 000 to about 15 000 people)",11,35,4,680,18,0.9016,0.4475,0.83,1.3451,8.2424,5604696,600.063
5600002,"Belgium: Flemish community",1,1,0,"Grade 9","Female",16,"C","Vocational","Another language (BEL)",0.0321,0.0721,"26-100 books","Second-Generation","None","ISCED 1",16,12,1.0991,"Repeated a <grade>",21,0,0,415.087,397.328,-2.505,-0.8771,"A small town (3 000 to about 15 000 people)",11,35,4,680,18,0.9016,0.4475,0.83,1.3451,8.2424,5602405,315.299
5600002,"Belgium: Flemish community",1,1,0,"Grade 10","Female",16,"A","Vocational","Dutch",0.0321,0.4803,"11-25 books","Native","ISCED 3A, ISCED 4","ISCED 5B",55,38,-0.4263,"Did not repeat a <grade>",7,150,200,474.235,483.668,-0.0345,0.1111,"A small town (3 000 to about 15 000 people)",11,35,4,680,18,0.9016,0.4475,0.83,1.3451,8.2424,5605815,618.821
5600002,"Belgium: Flemish community",1,1,0,"Grade 9","Female",16,"C","Vocational","Dutch",0.6829,0.9256,"11-25 books","Native","ISCED 3B, C","ISCED 5A, 6",38,28,-0.3306,"Repeated a <grade>",40,0,100,416.109,423.805,0.1661,-2.0325,"A small town (3 000 to about 15 000 people)",11,35,4,680,18,0.9016,0.4475,0.83,1.3451,8.2424,5604471,491.02
5600002,"Belgium: Flemish community",1,1,0,"Grade 10","Female",16,"A","Vocational","Dutch",1.1563,0.2605,"26-100 books","Native","ISCED 5B","ISCED 3B, C",22,21,0.1004,"Did not repeat a <grade>",39,150,200,554.827,560.136,0.8531,-1.4159,"A small town (3 000 to about 15 000 people)",11,35,4,680,18,0.9016,0.4475,0.83,1.3451,8.2424,5600446,684.247
